continent,isBot,submitter,statistics_type,previousWorkflowStep,city,latitude,type,uid,owningItem,countryCode,sortBy,id,owningComm,longitude,owner,workflowItemId,ip,query,dns,workflowStep,userAgent,actor,referrer,rpp,sortOrder,bundleName,time,page,epersonid,owningColl,uid_value,owningItem_value,owningComm_value,owningColl_value,workflowItemId_value
,false,,view,,,,5,d4338970-4c28-4ba3-a8da-2a8b7ddacc11,,,,0ca0dae5-f60a-472a-8797-45345e117dd2,,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,,,,,2024-07-02T14:54:47.160Z,,,,d4338970-4c28-4ba3-a8da-2a8b7ddacc11,,,,
,false,,view,,,,0,2a8d94b4-f77b-499b-a76f-9eb557394567,1d9ad00b-f0ed-44a9-9218-90727073b9ce,,,5828b173-ec99-456c-b619-093966fa4ca3,dd8cbefd-bc37-476c-a383-7c9fe413743f,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/home,,,THUMBNAIL,2024-07-02T14:54:47.519Z,,,646ebb9d-ec74-4902-b654-e4fbcf0988f1,2a8d94b4-f77b-499b-a76f-9eb557394567,1d9ad00b-f0ed-44a9-9218-90727073b9ce,PEDSnet Resources,Common Data Models,
,false,,view,,,,2,15561a36-92f0-4c82-8ec8-5611ca1bfef2,,,,1d9ad00b-f0ed-44a9-9218-90727073b9ce,dd8cbefd-bc37-476c-a383-7c9fe413743f,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/home,,,,2024-07-02T14:54:51.487Z,,,646ebb9d-ec74-4902-b654-e4fbcf0988f1,15561a36-92f0-4c82-8ec8-5611ca1bfef2,,PEDSnet Resources,Common Data Models,
,false,,view,,,,5,37ad93a8-c448-4ae7-a9e4-3499fafed506,,,,0ca0dae5-f60a-472a-8797-45345e117dd2,,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/items/1d9ad00b-f0ed-44a9-9218-90727073b9ce,,,,2024-07-02T14:54:55.910Z,,,,37ad93a8-c448-4ae7-a9e4-3499fafed506,,,,
,false,,search,,,,,53fb00d4-b2c9-4340-b568-150f208b5104,,,dc.date.accessioned,,,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC,0,desc,,2024-07-02T14:54:59.093Z,1,,,53fb00d4-b2c9-4340-b568-150f208b5104,,,,
,false,,view,,,,0,dabf2095-83ba-4232-b1d6-92e0127ac213,08f53bad-46a3-4fe7-b1ef-0e6f7a2c030f,,,352b776f-4985-4fb5-bb55-ea6bd3f9393f,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC,,,THUMBNAIL,2024-07-02T14:54:59.200Z,,,75a9452b-a94f-48f9-958f-4d3b5dfef7bb,dabf2095-83ba-4232-b1d6-92e0127ac213,Area Deprivation Index,Concept Sets,Environmental and Socioeconomic Variables,
,false,,view,,,,0,8d77b0b8-bc3d-4ad1-95cb-35f54b53d2d6,d507b23e-4eb2-4cda-97b6-994d8cdf1cd5,,,1959c529-30f6-4263-8f1d-1de6bba8315a,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC,,,THUMBNAIL,2024-07-02T14:54:59.201Z,,,75a9452b-a94f-48f9-958f-4d3b5dfef7bb,8d77b0b8-bc3d-4ad1-95cb-35f54b53d2d6,Social Vulnerability Index,Concept Sets,Environmental and Socioeconomic Variables,
,false,,search_result,,,,2,37229b3d-a6c5-4fa9-b4da-c20440d1af7a,,,dc.date.accessioned,08f53bad-46a3-4fe7-b1ef-0e6f7a2c030f,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC,0,desc,,2024-07-02T14:55:02.004Z,1,,75a9452b-a94f-48f9-958f-4d3b5dfef7bb,37229b3d-a6c5-4fa9-b4da-c20440d1af7a,,Concept Sets,Environmental and Socioeconomic Variables,
,false,,view,,,,2,76c8239b-4fc7-4667-834f-5728ff7825ee,,,,08f53bad-46a3-4fe7-b1ef-0e6f7a2c030f,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,https://pedsdspace01.research.chop.edu/search?spc.page=1&spc.sf=dc.date.accessioned&spc.sd=DESC,,,,2024-07-02T14:55:02.503Z,,,75a9452b-a94f-48f9-958f-4d3b5dfef7bb,76c8239b-4fc7-4667-834f-5728ff7825ee,,Concept Sets,Environmental and Socioeconomic Variables,
,false,,view,,,,2,ccbb26dd-5a26-434c-b1cc-4d11c3ed753e,,,,08f53bad-46a3-4fe7-b1ef-0e6f7a2c030f,3ba287c6-7a99-4ae4-807b-3cf10970033b,,,,fc23d790,,563b7ec8,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,,,,,2024-07-02T14:56:22.449Z,,,75a9452b-a94f-48f9-958f-4d3b5dfef7bb,ccbb26dd-5a26-434c-b1cc-4d11c3ed753e,,Concept Sets,Environmental and Socioeconomic Variables,
